Area Name,total_poverty_status,Percent_below_poverty_level
ZCTA5 98501,40354,8.2
ZCTA5 98502,29406,16.5
ZCTA5 98503,35942,13.4
ZCTA5 98506,18000,12.9
ZCTA5 98512,27899,10.9
ZCTA5 98513,33648,8.9
ZCTA5 98516,21659,10.4
ZCTA5 98520,21170,20.8
ZCTA5 98524,3477,7.7
ZCTA5 98526,277,23.1
ZCTA5 98527,204,15.2
ZCTA5 98528,8950,17.9
ZCTA5 98530,522,32
ZCTA5 98531,23379,22.7
ZCTA5 98532,23513,12.3
ZCTA5 98533,764,20.5
ZCTA5 98535,461,15
ZCTA5 98536,169,66.3
ZCTA5 98537,2121,14
ZCTA5 98538,225,19.1
ZCTA5 98541,10164,18.7
ZCTA5 98542,459,11.1
ZCTA5 98544,0,-
ZCTA5 98546,3297,11.9
ZCTA5 98547,1086,24.7
ZCTA5 98548,2371,17.1
ZCTA5 98550,11207,23.6
ZCTA5 98552,619,20
ZCTA5 98555,336,14.6
ZCTA5 98557,3137,17.7
ZCTA5 98558,94,28.7
ZCTA5 98559,157,100
ZCTA5 98560,201,0
ZCTA5 98562,73,0
ZCTA5 98563,7942,11.8
ZCTA5 98564,2385,16.4
ZCTA5 98565,516,3.5
ZCTA5 98568,2784,18.6
ZCTA5 98569,5923,8.2
ZCTA5 98570,4161,10.2
ZCTA5 98571,293,0
ZCTA5 98572,775,14.1
ZCTA5 98575,153,17
ZCTA5 98576,4683,8.5
ZCTA5 98577,6609,17.1
ZCTA5 98579,13469,10
ZCTA5 98580,11027,18.4
ZCTA5 98581,216,5.1
ZCTA5 98582,504,24
ZCTA5 98583,102,31.4
ZCTA5 98584,34761,18.4
ZCTA5 98585,660,12.7
ZCTA5 98586,1994,31.9
ZCTA5 98587,880,38.9
ZCTA5 98588,2165,14.1
ZCTA5 98589,7065,15.1
ZCTA5 98590,432,23.6
ZCTA5 98591,3553,11.7
ZCTA5 98592,1511,2.6
ZCTA5 98593,926,15.7
ZCTA5 98595,2450,28.7
ZCTA5 98596,7627,20.6
ZCTA5 98597,21684,16.2
ZCTA5 98601,2643,10.3
ZCTA5 98602,96,0
ZCTA5 98603,1013,12.8
ZCTA5 98604,34551,9.6
ZCTA5 98605,1327,10.6
ZCTA5 98606,9247,6.6
ZCTA5 98607,28790,5.5
ZCTA5 98610,2796,15.3
ZCTA5 98611,9911,8.7
ZCTA5 98612,2528,21.8
ZCTA5 98613,630,13.7
ZCTA5 98614,198,0
ZCTA5 98616,186,7.5
ZCTA5 98617,1090,7.8
ZCTA5 98619,480,9
ZCTA5 98620,7048,18.1
ZCTA5 98621,540,18.3
ZCTA5 98624,1547,13.1
ZCTA5 98625,6525,10.1
ZCTA5 98626,24236,21.5
ZCTA5 98628,413,15
ZCTA5 98629,8479,5.9
ZCTA5 98631,3636,15
ZCTA5 98632,47593,20.4
ZCTA5 98635,1728,11.2
ZCTA5 98638,1257,8.2
ZCTA5 98639,964,16
ZCTA5 98640,3772,14.1
ZCTA5 98641,0,-
ZCTA5 98642,16202,6.1
ZCTA5 98643,411,24.3
